;dataset_name;dataset_size;dataset_random_seed;algorithm_name;algorithm_random_seed;time_start;time_stop;time_total
../experiments/preprocessing/bank_cards_v2-size_2000-rand_1/lemma_prep-rand_5/;bank_cards_v2;2000;1;lemma_prep;5;1668606223;1668606236;13,18673301
../experiments/preprocessing/bank_cards_v2-size_2000-rand_1/simple_prep-rand_1/;bank_cards_v2;2000;1;simple_prep;1;1668606203;1668606216;13,491503
../experiments/preprocessing/bank_cards_v2-size_2000-rand_1/simple_prep-rand_2/;bank_cards_v2;2000;1;simple_prep;2;1668606203;1668606217;13,39936399
../experiments/preprocessing/bank_cards_v2-size_2000-rand_1/simple_prep-rand_3/;bank_cards_v2;2000;1;simple_prep;3;1668606209;1668606223;13,68718219
../experiments/preprocessing/bank_cards_v2-size_2000-rand_1/simple_prep-rand_4/;bank_cards_v2;2000;1;simple_prep;4;1668606217;1668606230;13,02928591
../experiments/preprocessing/bank_cards_v2-size_2000-rand_1/simple_prep-rand_5/;bank_cards_v2;2000;1;simple_prep;5;1668606217;1668606230;13,14296103
../experiments/preprocessing/bank_cards_v2-size_2000-rand_2/filter_prep-rand_1/;bank_cards_v2;2000;2;filter_prep;1;1668606230;1668606243;13,11242604
../experiments/preprocessing/bank_cards_v2-size_2000-rand_2/filter_prep-rand_2/;bank_cards_v2;2000;2;filter_prep;2;1668606230;1668606243;13,12407088
../experiments/preprocessing/bank_cards_v2-size_2000-rand_2/filter_prep-rand_3/;bank_cards_v2;2000;2;filter_prep;3;1668606236;1668606249;13,26425505
../experiments/preprocessing/bank_cards_v2-size_2000-rand_2/filter_prep-rand_4/;bank_cards_v2;2000;2;filter_prep;4;1668606243;1668606256;12,98881078
../experiments/preprocessing/bank_cards_v2-size_2000-rand_2/filter_prep-rand_5/;bank_cards_v2;2000;2;filter_prep;5;1668606249;1668606262;13,11940312
../experiments/preprocessing/bank_cards_v2-size_2000-rand_2/lemma_prep-rand_1/;bank_cards_v2;2000;2;lemma_prep;1;1668606229;1668606243;13,28939009
../experiments/preprocessing/bank_cards_v2-size_2000-rand_2/lemma_prep-rand_2/;bank_cards_v2;2000;2;lemma_prep;2;1668606230;1668606243;13,38580704
../experiments/preprocessing/bank_cards_v2-size_2000-rand_2/lemma_prep-rand_3/;bank_cards_v2;2000;2;lemma_prep;3;1668606236;1668606250;13,50887084
../experiments/preprocessing/bank_cards_v2-size_2000-rand_2/lemma_prep-rand_4/;bank_cards_v2;2000;2;lemma_prep;4;1668606243;1668606256;13,52534413
../experiments/preprocessing/bank_cards_v2-size_2000-rand_2/lemma_prep-rand_5/;bank_cards_v2;2000;2;lemma_prep;5;1668606243;1668606256;13,0312109
../experiments/preprocessing/bank_cards_v2-size_2000-rand_2/simple_prep-rand_1/;bank_cards_v2;2000;2;simple_prep;1;1668606223;1668606236;13,26905298
../experiments/preprocessing/bank_cards_v2-size_2000-rand_2/simple_prep-rand_2/;bank_cards_v2;2000;2;simple_prep;2;1668606230;1668606243;13,35376096
../experiments/preprocessing/bank_cards_v2-size_2000-rand_2/simple_prep-rand_3/;bank_cards_v2;2000;2;simple_prep;3;1668606236;1668606249;13,41049385
